"Age","Blocks","Color"
"Young Adult (20-35)",8,"#008000"
"Toddler (0-4)",5,"#FF0080"
"Young Adult (20-35)",10,"#FF0080"
"Young Adult (20-35)",8,"#FF0080"
"Young Adult (20-35)",10,"#0000FF"
"Young Adult (20-35)",9,"#FFA500"
"Young Child (5-8)",6,"#FF0000"
"Toddler (0-4)",6,"#0000FF"
"Child (9-12)",7,"#800080"
"Young Child (5-8)",7,"#008000"
"Young Child (5-8)",8,"#0000FF"
"Teen (13-19)",10,"#800080"
"Teen (13-19)",10,"#FFA500"
"Toddler (0-4)",7,"#FF0000"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",8,"#FF0080"
"Young Child (5-8)",8,"#008000"
"Toddler (0-4)",8,"#0000FF"
"Young Child (5-8)",9,"#FFA500"
"Adult (36-60)",2,"#800080"
"Adult (36-60)",10,"#800080"
"Young Child (5-8)",9,"#800080"
"Young Child (5-8)",9,"#800080"
"Young Child (5-8)",10,"#FF0080"
"Young Child (5-8)",7,"#FF0080"
"Young Child (5-8)",5,"#0000FF"
"Young Child (5-8)",5,"#800080"
"Young Child (5-8)",4,"#008000"
"Young Child (5-8)",3,"#FF0000"
"Young Child (5-8)",2,"#FF0000"
"Young Child (5-8)",6,"#FFA500"
"Young Child (5-8)",8,"#FF0000"
"Adult (36-60)",10,"#FF0080"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",7,"#FFD700"
"Toddler (0-4)",6,"#FFD700"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",9,"#FFA500"
"Toddler (0-4)",4,"#0000FF"
"Young Child (5-8)",7,"#800080"
"Young Child (5-8)",7,"#FFD700"
"Toddler (0-4)",8,"#0000FF"
"Toddler (0-4)",8,"#0000FF"
"Adult (36-60)",8,"#800080"
"Child (9-12)",10,"#008000"
"Toddler (0-4)",6,"#FF0000"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",8,"#FFA500"
"Young Child (5-8)",7,"#008000"
"Child (9-12)",8,"#FF0080"
"Senior (70+)",8,"#800080"
"Young Adult (20-35)",10,"#0000FF"
"Adult (36-60)",10,"#008000"
"Adult (36-60)",10,"#0000FF"
"Young Child (5-8)",8,"#008000"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",10,"#0000FF"
"Child (9-12)",7,"#FF0080"
"Child (9-12)",7,"#008000"
"Young Child (5-8)",8,"#008000"
"Toddler (0-4)",6,"#0000FF"
"Young Child (5-8)",8,"#0000FF"
"Adult (36-60)",10,"#0000FF"
"Young Child (5-8)",7,"#FF0000"
"Toddler (0-4)",9,"#008000"
"Young Child (5-8)",7,"#FFD700"
"Young Child (5-8)",9,"#0000FF"
"Child (9-12)",7,"#FF0000"
"Young Child (5-8)",8,"#FF0000"
"Adult (36-60)",9,"#FFD700"
